,address,zipcode,city,state,latitude,longitude,usecode,bedrooms,amount,last-updated,rent,rentPerUnit,totalMonthlyIncome,downPayment,loanAmount,interestRate,pmiRate,loanTerm_years,paymentsPerYear,taxRate,insuranceRate,monthlyInterest,monthlyPrincipal,monthlyP&I,monthlyTaxes,monthlyInsurance,monthlyPMI,subTotalMonthlyPayment,vacancy,capitalExpenditures,maintenance,subtotalMonthlyReserves,totalMonthlyExpenses,rehabCost,closingCosts,initialInvestment,monthlyCashFlow,yearlyLoanPaydown,appreciationAmount,oneYearNWROI
13,8274 s jackson st,80122,Centennial,CO,39.567333000000005,-104.94306599999999,SingleFamily,4.0,601847.0,01/08/2020,2845.0,948.3333333333334,3793.3333333333335,21064.645,580782.355,0.0366,0.01,30,12,0.008,0.005,1771.3861827499998,797.1237822374999,2568.5099649874996,401.23133333333334,250.76958333333334,483.98529583333334,3704.496177487499,100,100,100,300,4004.496177487499,20000,12036.94,53101.58500000001,-211.16284415416567,9565.48538685,36110.82,1.0267556280476373
497,13754 garfield st,80602,Thornton,CO,39.945257,-104.94386899999999,SingleFamily,3.0,384026.0,01/08/2020,2005.0,1002.5,3007.5,13440.910000000002,370585.08999999997,0.0366,0.01,30,12,0.008,0.005,1130.2845244999999,508.628036025,1638.912560525,256.01733333333334,160.01083333333335,308.8209083333333,2363.7616355249997,100,100,100,300,2663.7616355249997,20000,7680.52,41121.43000000001,343.73836447500025,6103.536432299999,23041.559999999998,1.1016143360286836
1672,1733 s genoa way,80017,Aurora,CO,39.685444,-104.75778100000001,SingleFamily,3.0,318791.0,01/08/2020,1950.0,975.0,2925.0,11157.685000000001,307633.315,0.0366,0.01,30,12,0.008,0.005,938.2816107499999,422.22672483749994,1360.5083355875,212.52733333333333,132.82958333333332,256.3610958333333,1962.2263480875001,100,100,100,300,2262.2263480875,20000,6375.82,37533.505000000005,662.7736519125001,5066.72069805,19127.46,1.1682219531855604
397,19535 e geddes pl,80016,Centennial,CO,39.584052,-104.76142,SingleFamily,5.0,1033152.0,01/08/2020,4755.0,1188.75,5943.75,36160.32000000001,996991.6799999999,0.0366,0.01,30,12,0.008,0.005,3040.8246239999994,1368.3710807999998,4409.1957047999995,688.768,430.48,830.8263999999999,6359.2701048,100,100,100,300,6659.2701048,20000,20663.04,76823.36000000002,-715.5201047999999,16420.4529696,61989.119999999995,1.094567221636752
148,4895 e costilla pl,80122,Centennial,CO,39.590546,-104.930062,SingleFamily,4.0,478371.0,01/08/2020,2150.0,716.6666666666666,2866.6666666666665,16742.985,461628.015,0.0366,0.01,30,12,0.008,0.005,1407.96544575,633.5844505875001,2041.5498963375003,318.91400000000004,199.32125,384.6900125,2944.4751588375007,100,100,100,300,3244.4751588375007,20000,9567.42,46310.405,-377.80849217083414,7603.013407050001,28702.26,0.8717602772206374
1604,2109 s ouray st,80013,Aurora,CO,39.679407,-104.791976,SingleFamily,5.0,380048.0,01/08/2020,2200.0,550.0,2750.0,13301.680000000002,366746.32,0.0366,0.01,30,12,0.008,0.005,1118.576276,503.3593242,1621.9356002,253.36533333333333,158.35333333333332,305.62193333333335,2339.2762002,100,100,100,300,2639.2762002,20000,7600.96,40902.64,110.72379980000005,6040.3118904,22802.879999999997,0.8990098802424489
64,4191 e weaver pl,80121,Centennial,CO,39.600372,-104.93885,SingleFamily,4.0,493136.0,01/08/2020,2505.0,835.0,3340.0,17259.760000000002,475876.24,0.0366,0.01,30,12,0.008,0.005,1451.4225319999998,653.1401394,2104.5626714,328.75733333333335,205.47333333333333,396.5635333333333,3035.3568714000003,100,100,100,300,3335.3568714000003,20000,9862.72,47122.48,4.643128599999727,7837.681672799999,29588.16,1.0080445514752192
1862,2481 s bahama way,80013,Aurora,CO,39.67419,-104.768765,SingleFamily,4.0,482484.0,01/08/2020,2595.0,865.0,3460.0,16886.940000000002,465597.06,0.0366,0.01,30,12,0.008,0.005,1420.071033,639.03196485,2059.10299785,321.656,201.035,387.99755,2969.79154785,100,100,100,300,3269.79154785,20000,9649.68,46536.62,190.20845215000008,7668.383578200001,28949.039999999997,1.058949382314401
380,6066 s elizabeth way,80121,Centennial,CO,39.606041,-104.95837399999999,SingleFamily,4.0,454023.0,01/08/2020,2250.0,750.0,3000.0,15890.805000000002,438132.195,0.0366,0.01,30,12,0.008,0.005,1336.30319475,601.3364376375,1937.6396323875001,302.682,189.17625,365.11016250000006,2794.6080448875005,100,100,100,300,3094.6080448875005,20000,9080.460000000001,44971.265,-94.60804488750045,7216.03725165,27241.379999999997,0.9410925112513512
308,7574 s willow cir,80112,Centennial,CO,39.578321,-104.887786,SingleFamily,4.0,682802.0,01/08/2020,3141.0,1047.0,4188.0,23898.070000000003,658903.9299999999,0.0366,0.01,30,12,0.008,0.005,2009.6569865,904.345643925,2914.002630425,455.20133333333337,284.50083333333333,549.0866083333333,4202.791405425,100,100,100,300,4502.791405425,20000,13656.04,57554.11000000001,-314.79140542500045,10852.1477271,40968.119999999995,1.053039841324972
