,address,zipcode,city,state,latitude,longitude,usecode,bedrooms,amount,last-updated,rent,rentPerUnit,totalMonthlyIncome,downPayment,loanAmount,interestRate,pmiRate,loanTerm_years,paymentsPerYear,taxRate,insuranceRate,monthlyInterest,monthlyPrincipal,monthlyP&I,monthlyTaxes,monthlyInsurance,monthlyPMI,subTotalMonthlyPayment,vacancy,capitalExpenditures,maintenance,subtotalMonthlyReserves,totalMonthlyExpenses,rehabCost,closingCosts,initialInvestment,monthlyCashFlow,yearlyLoanPaydown,appreciationAmount,oneYearNWROI
93,2370 n magnolia st,80207,Denver,CO,39.752043,-104.911286,SingleFamily,3.0,387450.0,01/08/2020,2235.0,1117.5,3352.5,13560.750000000002,373889.25,0.0366,0.01,30,12,0.008,0.005,1140.3622125,513.162995625,1653.525208125,258.3,161.4375,311.574375,2384.8370831250004,100,100,100,300,2684.8370831250004,20000,7749.0,41309.75,667.6629168749996,6157.955947500001,23247.0,1.230385343653738
96,6834 e bucknell pl,80224,Denver,CO,39.662285,-104.907496,SingleFamily,4.0,553477.0,01/08/2020,2600.0,866.6666666666666,3466.6666666666665,19371.695000000003,534105.3049999999,0.0366,0.01,30,12,0.008,0.005,1629.0211802499998,733.0595311124999,2362.0807113624996,368.98466666666667,230.61541666666668,445.0877541666666,3406.7685488624993,100,100,100,300,3706.7685488624993,20000,11069.54,50441.23500000001,-240.1018821958328,8796.71437335,33208.619999999995,0.9818179865540563
98,300 n clermont street pkwy,80220,Denver,CO,39.72122,-104.934252,SingleFamily,5.0,2300587.0,01/08/2020,9125.0,2281.25,11406.25,80520.54500000001,2220066.455,0.0366,0.01,30,12,0.008,0.005,6771.20268775,3047.0412094875,9818.2438972375,1533.7246666666667,958.5779166666666,1850.0553791666669,14160.6018597375,100,100,100,300,14460.6018597375,20000,46011.74,146532.285,-3054.3518597375005,36564.494513850004,138035.22,1.1282325406786635
100,15090 e andrews dr,80239,Denver,CO,39.773045,-104.81483100000001,SingleFamily,3.0,332150.0,01/08/2020,2100.0,1050.0,3150.0,11625.250000000002,320524.75,0.0366,0.01,30,12,0.008,0.005,977.6004875,439.920219375,1417.520706875,221.43333333333337,138.39583333333334,267.1039583333333,2044.453831875,100,100,100,300,2344.453831875,20000,6643.0,38268.25,805.5461681249999,5279.0426325,19929.0,1.2405740176255773
103,1380 n sheridan blvd,80214,Denver,CO,39.738169,-105.05286799999999,SingleFamily,2.0,386317.0,01/08/2020,1900.0,1900.0,3800.0,13521.095000000001,372795.90499999997,0.0366,0.01,30,12,0.008,0.005,1137.02751025,511.6623796125,1648.6898898625,257.54466666666667,160.96541666666667,310.66325416666666,2377.8632273625,100,100,100,300,2677.8632273625,20000,7726.34,41247.435,1122.1367726375001,6139.94855535,23179.02,1.590028806082124
107,7891 e 26th ave,80238,Denver,CO,39.754917,-104.89641,SingleFamily,4.0,756755.0,01/08/2020,3000.0,1000.0,4000.0,26486.425000000003,730268.575,0.0366,0.01,30,12,0.008,0.005,2227.31915375,1002.2936191875001,3229.6127729375003,504.50333333333333,315.31458333333336,608.5571458333333,4657.9878354375,100,100,100,300,4957.9878354375,20000,15135.1,61621.525,-957.9878354374996,12027.523430250001,45405.299999999996,0.9402066794841576
108,1300 s zenobia st,80219,Denver,CO,39.693017,-105.05156000000001,SingleFamily,3.0,317442.0,01/08/2020,1950.0,975.0,2925.0,11110.470000000001,306331.52999999997,0.0366,0.01,30,12,0.008,0.005,934.3111665,420.440024925,1354.751191425,211.62800000000001,132.2675,255.27627499999997,1953.9229664249997,100,100,100,300,2253.9229664249997,20000,6348.84,37459.31,671.0770335750003,5045.2802991,19046.52,1.1704626887681597
109,3031 w 40th ave,80211,Denver,CO,39.772233,-105.026176,SingleFamily,2.0,600203.0,01/08/2020,2350.0,2350.0,4700.0,21007.105000000003,579195.895,0.0366,0.01,30,12,0.008,0.005,1766.54747975,794.9463658875001,2561.4938456375003,400.13533333333334,250.0845833333333,482.66324583333335,3694.3770081375,100,100,100,300,3994.3770081375,20000,12004.06,53011.165,705.6229918624999,9539.35639065,36012.18,1.5509753896749865
112,2734 n elmira st,80238,Denver,CO,39.755908000000005,-104.87215900000001,SingleFamily,4.0,796006.0,01/08/2020,3200.0,1066.6666666666667,4266.666666666667,27860.210000000003,768145.7899999999,0.0366,0.01,30,12,0.008,0.005,2342.8446595,1054.280096775,3397.124756275,530.6706666666666,331.6691666666667,640.1214916666667,4899.586081275,100,100,100,300,5199.586081275,20000,15920.12,63780.33000000001,-932.9194146083328,12651.3611613,47760.36,0.9723481861257224
113,4859 n raleigh st,80212,Denver,CO,39.785051,-105.04187900000001,SingleFamily,2.0,427808.0,01/08/2020,2250.0,2250.0,4500.0,14973.28,412834.72,0.0366,0.01,30,12,0.008,0.005,1259.145896,566.6156532,1825.7615492,285.20533333333333,178.25333333333333,344.0289333333333,2633.2491492000004,100,100,100,300,2933.2491492000004,20000,8556.16,43529.44,1566.7508507999996,6799.3878384,25668.48,1.7980676537074678
120,1234 s josephine st,80210,Denver,CO,39.694063,-104.957801,SingleFamily,2.0,567923.0,01/08/2020,2500.0,2500.0,5000.0,19877.305,548045.695,0.0366,0.01,30,12,0.008,0.005,1671.5393697499997,752.1927163874999,2423.7320861374997,378.61533333333335,236.63458333333335,456.70474583333333,3495.6867486374995,100,100,100,300,3795.6867486374995,20000,11358.460000000001,51235.765,1204.3132513625005,9026.31259665,34075.38,1.7088346707226878
122,3720 w 24th ave,80211,Denver,CO,39.751870000000004,-105.03635700000001,SingleFamily,2.0,529785.0,01/08/2020,2300.0,2300.0,4600.0,18542.475000000002,511242.52499999997,0.0366,0.01,30,12,0.008,0.005,1559.2897012499998,701.6803655624999,2260.9700668124997,353.19,220.74375,426.03543749999994,3260.9392543124995,100,100,100,300,3560.9392543124995,20000,10595.7,49138.175,1039.0607456875005,8420.164386749999,31787.1,1.6336787708334712
123,2329 n clermont st,80207,Denver,CO,39.75165,-104.935347,SingleFamily,3.0,685034.0,01/08/2020,2800.0,1400.0,4200.0,23976.190000000002,661057.8099999999,0.0366,0.01,30,12,0.008,0.005,2016.2263205,907.301844225,2923.528164725,456.6893333333333,285.43083333333334,550.8815083333333,4216.529839725,100,100,100,300,4516.529839725,20000,13700.68,57676.87,-316.5298397249999,10887.6221307,41102.04,1.1268174582635986
127,9135 e jefferson pl,80237,Denver,CO,39.650933,-104.88256000000001,SingleFamily,4.0,573421.0,01/08/2020,2600.0,866.6666666666666,3466.6666666666665,20069.735,553351.265,0.0366,0.01,30,12,0.008,0.005,1687.72135825,759.4746112125,2447.1959694625,382.2806666666667,238.92541666666668,461.12605416666673,3529.5281069625,100,100,100,300,3829.5281069625,20000,11468.42,51538.155,-362.8614402958333,9113.69533455,34405.26,0.9617072642782809
130,3036 s golden way,80227,Denver,CO,39.658563,-105.057782,SingleFamily,5.0,479019.0,01/08/2020,2200.0,550.0,2750.0,16765.665,462253.33499999996,0.0366,0.01,30,12,0.008,0.005,1409.87267175,634.4427022875001,2044.3153740375,319.346,199.59125000000003,385.21111249999996,2948.4637365375,100,100,100,300,3248.4637365375,20000,9580.380000000001,46346.045,-498.46373653750015,7613.3124274500005,28741.14,0.7977571244536615
131,4376 n denmark ct,80239,Denver,CO,39.775847,-104.82666,SingleFamily,3.0,308374.0,01/08/2020,1950.0,975.0,2925.0,10793.09,297580.91,0.0366,0.01,30,12,0.008,0.005,907.6217754999999,408.429798975,1316.0515744749998,205.58266666666668,128.48916666666668,247.98409166666667,1898.107499475,100,100,100,300,2198.1074994749997,20000,6167.4800000000005,36960.57,726.8925005250003,4901.1575877,18502.44,1.185758433757921
133,2565 s linley ct,80219,Denver,CO,39.670962,-105.034081,SingleFamily,2.0,298454.0,01/08/2020,1635.0,1635.0,3270.0,10445.890000000001,288008.11,0.0366,0.01,30,12,0.008,0.005,878.4247354999999,395.29113097499993,1273.7158664749998,198.96933333333334,124.35583333333334,240.00675833333332,1837.0477914749995,100,100,100,300,2137.0477914749995,20000,5969.08,36414.97,1132.9522085250005,4743.493571699999,17907.239999999998,1.5341536756449339
136,3490 w 49th ave,80221,Denver,CO,39.785472999999996,-105.033054,SingleFamily,3.0,392091.0,01/08/2020,1995.0,997.5,2992.5,13723.185000000001,378367.815,0.0366,0.01,30,12,0.008,0.005,1154.02183575,519.3098260875,1673.3316618375002,261.394,163.37125,315.3065125,2413.4034243375,100,100,100,300,2713.4034243375,20000,7841.82,41565.005,279.0965756625001,6231.717913050001,23525.46,1.0844780800820306
137,80 n fox st,80223,Denver,CO,39.71803,-104.994951,SingleFamily,2.0,508204.0,01/08/2020,2100.0,2100.0,4200.0,17787.140000000003,490416.86,0.0366,0.01,30,12,0.008,0.005,1495.771423,673.09714035,2168.86856335,338.80266666666665,211.75166666666667,408.6807166666667,3128.1036133499997,100,100,100,300,3428.1036133499997,20000,10164.08,47951.22,771.8963866500003,8077.1656842,30492.239999999998,1.52305118251423
138,1862 s forest st,80222,Denver,CO,39.682975,-104.926571,SingleFamily,4.0,528275.0,01/08/2020,2300.0,766.6666666666666,3066.6666666666665,18489.625,509785.375,0.0366,0.01,30,12,0.008,0.005,1554.84539375,699.6804271875001,2254.5258209375,352.18333333333334,220.11458333333334,424.82114583333333,3251.6448834375005,100,100,100,300,3551.6448834375005,20000,10565.5,49055.125,-484.978216770834,8396.165126250002,31696.5,0.8862056008419099
141,1325 n glencoe st,80207,Denver,CO,39.751549,-104.925963,SingleFamily,5.0,1556157.0,01/08/2020,6125.0,1531.25,7656.25,54465.495,1501691.505,0.0366,0.01,30,12,0.008,0.005,4580.15909025,2061.0715906125,6641.2306808625,1037.4379999999999,648.39875,1251.4095875,9578.4770183625,100,100,100,300,9878.4770183625,20000,31123.14,105588.635,-2222.2270183625005,24732.85908735,93369.42,1.0399846050382222
144,2960 n zenobia st,80212,Denver,CO,39.759611,-105.051722,SingleFamily,5.0,703042.0,01/08/2020,2850.0,712.5,3562.5,24606.47,678435.53,0.0366,0.01,30,12,0.008,0.005,2069.2283665,931.152764925,3000.381131425,468.6946666666667,292.93416666666667,565.3629416666666,4327.372906425,100,100,100,300,4627.372906425,20000,14060.84,58667.31,-1064.872906425,11173.8331791,42182.52,0.8373978336828465
145,9862 e exposition ave,80247,Denver,CO,39.703201,-104.873846,SingleFamily,3.0,480091.0,01/08/2020,2395.0,1197.5,3592.5,16803.185,463287.815,0.0366,0.01,30,12,0.008,0.005,1413.0278357500001,635.8625260875001,2048.8903618375,320.0606666666667,200.03791666666666,386.0731791666667,2955.0621243375003,100,100,100,300,3255.0621243375003,20000,9601.82,46405.005,337.43787566249966,7630.350313050001,28805.46,1.1820937164213214
146,9271 e 61st ave,80238,Denver,CO,39.807547,-104.88107600000001,SingleFamily,4.0,563320.0,01/08/2020,2800.0,933.3333333333334,3733.3333333333335,19716.2,543603.7999999999,0.0366,0.01,30,12,0.008,0.005,1657.9915899999999,746.0962155,2404.0878055,375.5466666666667,234.71666666666667,453.00316666666663,3467.3543055,100,100,100,300,3767.3543055,20000,11266.4,50982.6,-34.020972166666525,8953.154586,33799.2,1.0502426890743115
147,680 s washington st,80209,Denver,CO,39.704278,-104.978922,SingleFamily,2.0,596458.0,01/08/2020,2350.0,2350.0,4700.0,20876.030000000002,575581.97,0.0366,0.01,30,12,0.008,0.005,1755.5250085,789.9862538250001,2545.511262325,397.63866666666667,248.52416666666667,479.65164166666665,3671.3257373250003,100,100,100,300,3971.3257373250003,20000,11929.16,52805.19,728.6742626749997,9479.835045900001,35787.479999999996,1.5568811739527872
148,2853 n yosemite st,80238,Denver,CO,39.757047,-104.88488799999999,SingleFamily,4.0,664516.0,01/08/2020,2994.0,998.0,3992.0,23258.06,641257.94,0.0366,0.01,30,12,0.008,0.005,1955.836717,880.12652265,2835.96323965,443.0106666666666,276.88166666666666,534.3816166666667,4090.23718965,100,100,100,300,4390.23718965,20000,13290.32,56548.38,-398.2371896499999,10561.5182718,39870.96,1.0191208306232644
149,3315 n high st,80205,Denver,CO,39.763596,-104.965051,SingleFamily,2.0,525815.0,01/08/2020,2400.0,2400.0,4800.0,18403.525,507411.475,0.0366,0.01,30,12,0.008,0.005,1547.60499875,696.4222494375,2244.0272481875,350.54333333333335,219.08958333333337,422.84289583333333,3236.5030606875002,100,100,100,300,3536.5030606875002,20000,10516.300000000001,48919.825000000004,1263.4969393124998,8357.06699325,31548.899999999998,1.714395549554807
154,500 n monaco street pkwy,80220,Denver,CO,39.724395,-104.912371,SingleFamily,4.0,846895.0,01/08/2020,3272.0,1090.6666666666667,4362.666666666667,29641.325000000004,817253.6749999999,0.0366,0.01,30,12,0.008,0.005,2492.62370875,1121.6806689375,3614.3043776875,564.5966666666667,352.8729166666667,681.0447291666666,5212.818690187501,100,100,100,300,5512.818690187501,20000,16937.9,66579.225,-1150.1520235208336,13460.168027250002,50813.7,0.9546528026572852
155,7962 e 33rd ave,80238,Denver,CO,39.762498,-104.895657,SingleFamily,4.0,953892.0,01/08/2020,3763.0,1254.3333333333333,5017.333333333333,33386.22,920505.78,0.0366,0.01,30,12,0.008,0.005,2807.542629,1263.39418305,4070.9368120500003,635.928,397.455,767.08815,5871.40796205,100,100,100,300,6171.40796205,20000,19077.84,72464.06,-1154.0746287166667,15160.730196600001,57233.52,1.015639403202084
157,1550 s clermont st,80222,Denver,CO,39.688465,-104.93451100000001,SingleFamily,3.0,521013.0,01/08/2020,2300.0,1150.0,3450.0,18235.455,502777.545,0.0366,0.01,30,12,0.008,0.005,1533.47151225,690.0621805124999,2223.5336927625,347.34200000000004,217.08875,418.9812875,3206.9457302624996,100,100,100,300,3506.9457302624996,20000,10420.26,48655.715000000004,-56.94573026249964,8280.746166149998,31260.78,1.0822608896611632
161,5567 n helena ct,80239,Denver,CO,39.796889,-104.80661500000001,SingleFamily,4.0,369853.0,01/08/2020,2350.0,783.3333333333334,3133.3333333333335,12944.855000000001,356908.14499999996,0.0366,0.01,30,12,0.008,0.005,1088.56984225,489.8564290125,1578.4262712625,246.56866666666667,154.10541666666668,297.42345416666666,2276.5238087625,100,100,100,300,2576.5238087625,20000,7397.06,40341.915,556.8095245708337,5878.277148149999,22191.18,1.0944242840975695
162,2257 s lowell blvd,80219,Denver,CO,39.676142,-105.035195,SingleFamily,3.0,373461.0,01/08/2020,2195.0,1097.5,3292.5,13071.135000000002,360389.865,0.0366,0.01,30,12,0.008,0.005,1099.18908825,494.63508971249996,1593.8241779625,248.97400000000002,155.60875000000001,300.3248875,2298.7318154625,100,100,100,300,2598.7318154625,20000,7469.22,40540.355,693.7681845375,5935.62107655,22407.66,1.229355275527311
166,1750 s tennyson st,80219,Denver,CO,39.684942,-105.04391899999999,SingleFamily,3.0,403097.0,01/08/2020,2200.0,1100.0,3300.0,14108.395,388988.605,0.0366,0.01,30,12,0.008,0.005,1186.41524525,533.8868603625,1720.3021056124999,268.73133333333334,167.95708333333334,324.15717083333334,2481.1476931125,100,100,100,300,2781.1476931125,20000,8061.9400000000005,42170.33500000001,518.8523068875002,6406.642324349999,24185.82,1.1861108053089924
168,9861 e 59th dr,80238,Denver,CO,39.805490999999996,-104.872823,SingleFamily,3.0,516124.0,01/08/2020,2450.0,1225.0,3675.0,18064.34,498059.66,0.0366,0.01,30,12,0.008,0.005,1519.0819629999999,683.58688335,2202.66884635,344.0826666666667,215.05166666666665,415.04971666666665,3176.8528963500003,100,100,100,300,3476.8528963500003,20000,10322.48,48386.81999999999,198.14710364999974,8203.0426002,30967.44,1.1624704381069062
169,3150 e jewell ave,80210,Denver,CO,39.681773,-104.95026000000001,SingleFamily,2.0,532569.0,01/08/2020,2300.0,2300.0,4600.0,18639.915,513929.08499999996,0.0366,0.01,30,12,0.008,0.005,1567.48370925,705.3676691625,2272.8513784125,355.046,221.90375000000003,428.27423749999997,3278.0753659124994,100,100,100,300,3578.0753659124994,20000,10651.380000000001,49291.295,1021.9246340875006,8464.41202995,31954.14,1.628718572701326
